Code,Phase,Sprint,Epic,Epic (JA),Screen,Function,Task,Task (JA),P/Day,Assignee,Status,Deadline,Done At,PM Check,Remark,Remark (JA)
TSK-01-001,MVP,S1,Import / tooling,,,,batch import,バッチインポート,1,aj,In progress,,2026-04-30,,,
TSK-01-002,MVP,S1,Workspace RBAC,,,,Remove global PM/Dev/Client workspace role selection; standardize team URLs on /[slug]/admin/,グローバルな PM／Dev／Client のワークスペースロール選択を削除し、チームのURLを /[slug]/admin/ に統一する。,1,aj,Done,,2026-04-30,,Middleware redirects legacy /pm /dev /client to /admin; cookies use admin for team mode,
TSK-01-003,MVP,S1,Workspace RBAC,,,,Personal team switch lands on Admin dashboard (updateActiveRoleAction + /{slug}/admin/dashboard),個人チームへの切り替え後は管理者ダッシュボードに遷移する（updateActiveRoleAction + /{slug}/admin/dashboard）。,1,aj,Done,,2026-04-30,,Updated WorkspaceProvider personal/team layouts select-workspace PersonalView join,
TSK-01-004,MVP,S1,Workspace RBAC,,,,getProjectsAction: all team members see full project list (view-all; edit enforced elsewhere),getProjectsAction：すべてのチームメンバーがプロジェクト一覧を完全に閲覧可能（全件表示）。編集権限は別途制御する,0.5,aj,Done,,2026-04-30,,Replaced old PM/Dev/client filter,
TSK-01-005,MVP,S1,Workspace RBAC,,,,createProjectAction: any team member can create; non admin/owner cannot set pm_id/client_id,createProjectAction：チームメンバーであれば誰でも作成可能。ただし、管理者／オーナーでない場合は pm_id や client_id を設定できない,0.5,aj,Done,,2026-04-30,,Creator stays view-only until assigned PM/Dev,
TSK-01-006,MVP,S1,Workspace RBAC,,,,assignProjectMemberAction / removeProjectMemberAction: only company admin billing owner or platform admin,assignProjectMemberAction／removeProjectMemberAction：会社管理者、請求オーナー、またはプラットフォーム管理者のみ実行可能。,0.5,aj,Done,,2026-04-30,,Uses team-project-auth.ts,
TSK-01-007,MVP,S1,Workspace RBAC,,,,updateProjectAction / deleteProjectAction: team rules + leadership fields restricted to role managers,updateProjectAction／deleteProjectAction：チームルールを適用し、リーダーシップ関連フィールドはロール管理者のみに制限する。,0.5,aj,Done,,2026-05-01,,PM can manage metadata/delete per coded rules,
TSK-01-008,MVP,S1,Workspace RBAC,,,,rows.ts: sheet mutations blocked unless team_manage project PM or project Dev,rows.ts：team_manage、プロジェクトPM、またはプロジェクトDev でない限り、シートの変更操作をブロックする。,0.5,aj,Done,,2026-05-01,,Aligns server with UI sheet role,
TSK-01-009,MVP,S1,Workspace RBAC,,,,AdminView: hide PM/Dev assign invite when user is not admin/owner; delete gated,AdminView：ユーザーが管理者／オーナーでない場合、PM／Dev の割り当て招待を非表示にする。削除操作は権限で制御する。,0.5,aj,Done,,2026-05-01,,AdminDashboardClient passes canAssignProjectRoles,
TSK-01-010,MVP,S1,Workspace RBAC,,,,Sidebar: remove Switch role; show Owner Company Admin Team member,サイドバー：Switch role を削除し、オーナー／会社管理者／チームメンバーを表示する。,0.5,aj,Done,,2026-05-01,,,
TSK-01-011,MVP,S1,Workspace RBAC,,,,getCurrentUserProjectSheetRole: per-project + admin/owner/platform admin; no global PM/Dev from URL,getCurrentUserProjectSheetRole：プロジェクト単位 + 管理者／オーナー／プラットフォーム管理者に対応。URL からのグローバルな PM／Dev 判定は行わない,0.5,aj,Done,,2026-05-01,,Project tab page passes isTeamAdminOrOwner,
TSK-01-012,MVP,S1,Workspace RBAC,,,,switch-role page + home redirect updated; added lib/team-project-auth.ts,switch-role ページとホームへのリダイレクトを更新。lib/team-project-auth.ts を追加,0.5,aj,Done,,2026-05-01,,Production build verified,
TSK-01-013,MVP,S1,Admin dashboard,,,,Backend: Add updateTeamProjectCoreDetailsAction (name name_ja client description); enforce admin/owner/platform admin only; add patchProjectLocal in WorkspaceProvider,バックエンド：updateTeamProjectCoreDetailsAction（name、name_ja、client、description）を追加する。管理者／オーナー／プラットフォーム管理者のみに制限する。WorkspaceProvider に patchProjectLocal を追加する。,1,aj,Done,,2026-05-01,,Server action in projects.ts; instant UI merge without double write,
TSK-01-014,MVP,S1,Admin dashboard,,,,UI: EditProjectModal + Edit button on project cards (pencil); toast on save; visible only with canAssignProjectRoles,UI：EditProjectModal とプロジェクトカード上の編集ボタン（鉛筆アイコン）を追加する。保存時にトーストを表示する。canAssignProjectRoles 権限がある場合のみ表示する。,1,aj,Done,,2026-05-01,,AdminView footer Edit Invite Delete row; EditProjectModal matches new-project field layout,
TSK-01-201,MVP,S1,Auto code,,,,"[1/3] Define TSK-01-XXX rule: read existing task_code values in the project and compute the next suffix (max + 1), always 3-digit zero-padded.",[1/3] TSK-01-XXX ルールを定義：プロジェクト内の既存の task_code 値を読み取り、次のサフィックス（最大値 + 1）を算出する。常に3桁のゼロ埋めにする。,1,aj,In progress,,,,Minimal: spec + helper that returns next code string.,
TSK-01-202,MVP,S1,Auto code,,,,[2/3] Apply auto code when creating a new task row (Add Row / import): pre-fill task_code; block duplicate codes on save.,[2/3] 新規タスク行の作成時（行の追加 / インポート）に自動コードを適用する：task_codeを事前に入力し、保存時にコードの重複をブロックする。」,1,aj,In progress,,,,Minimal: hook generateCode or replace at creation time.,
TSK-01-203,MVP,S1,Auto code,,,,[3/3] Edge cases: empty sheet starts at TSK-01-001; handle gaps; optional reset per sprint document chosen behavior.,[3/3] エッジケース：空のシートでは TSK-01-001 から開始する。欠番に対応する。スプリントドキュメントごとのリセットは任意とし、選択された挙動に従う。,1,aj,In progress,,,,Minimal: tests or manual checklist.,
TSK-01-204,MVP,S1,Product UX,,,," Loading states: navigations, deletes, saves spinner/skeleton and disable repeat clicks.",ローディング状態：画面遷移・削除・保存時にスピナー／スケルトンを表示し、連続クリックを無効化する。,1,aj,In progress,,,,,
TSK-01-205,MVP,S1,Product UX,,,,Add task: Screen ID / Function ID open pickers from registered screen & function lists.,タスク追加：登録済みの画面一覧および機能一覧から、画面ID／機能IDのピッカーを開く。,1,aj,In progress,,,,,"また、ご依頼の英文の日本語訳は以下の通りです：

「タスクを追加：登録された画面および機能リストから、画面ID / 機能IDピッカーを開く。」"
TSK-01-206,MVP,S2,Grid / i18n,,,,"For explicit EN/_ja pairs (e.g. remark / remark_ja), cell text is String(row[key]), not getLocalizedCell.",明示的な EN／_ja のペア（例：remark／remark_ja）については、セルのテキストは getLocalizedCell ではなく String(row[key]) を使用する,1.5,aj,Done,,2026-05-02,,,
TSK-01-207,MVP,S2,Grid / i18n,,,,"Task (and Epic) use task_ja / epic_ja only as stored fields, not as sheet columns—here we render one EN / JA block (like Add task), with English and Japanese inputs side by side.",タスク（およびエピック）では、task_ja／epic_ja はシートの列ではなく保存用フィールドとしてのみ使用する。ここでは（「タスク追加」と同様に）英語／日本語を並べた単一のブロックとして表示する。,1,aj,Done,,2026-05-02,,,
TSK-01-208,MVP,S1,Import & validation,,,,Within-file duplicate codes: first occurrence imports; later rows duplicate_in_file,,1,aj,Not started,,,,Implemented in validateAndMapImportRows; duplicateCount includes duplicate_in_file.,
TSK-01-209,MVP,S1,Import & validation,,,,mapUniqueViolationError: friendly messages for idx_function_code_project and idx_screen_code_project,,1,aj,Not started,,,,Implemented for function_list and screen_list unique violations.,
TSK-01-210,MVP,S1,Preview UI,,,,ImportPreview: Ready to import count (rowsToImportCount); duplicate_in_file row styling,,1,aj,Not started,,,,ImportPreviewModal shows rows ready vs duplicate_in_file.,
TSK-01-211,MVP,S1,Column mapping,,,,getImportMappingTargetsForTab: EN columns + JA targets from bilingualRowFieldMap,,1,aj,Not started,,,,ColumnMappingUI dropdown includes Function (JA) etc.,
TSK-01-212,MVP,S1,Column mapping,,,,Auto-suggest: underscore headers; JA cues fields,,1,aj,Not started,,,,suggestMapping in ColumnMappingUI.,
TSK-01-213,MVP,S1,Import UX,,,,Full-screen Importing rows overlay during finalizeImportRows (no conflicts path),,1,aj,Not started,,,,GenericSheet importFinishing overlay.,
TSK-01-214,MVP,S1,Import UX,,,,ConflictResolver: dimmed overlay + spinner while batch import runs,,1,aj,Not started,,,,ConflictResolver importing overlay.,
TSK-01-215,MVP,S1,Import UX,,,,Dismissible success/warning banner after Import Results (counts when partial failure),,1,aj,Not started,,,,GenericSheet importBanner after Done.,
